scientific_name,park_name,observations,category,common_names,conservation_status
Platanus occidentalis,Great Smoky Mountains National Park,98,Vascular Plant,Sycamore,
Plantago rugelii,Yellowstone National Park,223,Vascular Plant,"Black-Seed Plantain, White Man's Footprint",
Lewisia nevadensis,Bryce National Park,82,Vascular Plant,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",
Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90,Vascular Plant,"Ballhead Sandwort, Loosehead Sandwort",
Calystegia sepium,Yellowstone National Park,218,Vascular Plant,Hedge Bindweed,
Carex backii,Great Smoky Mountains National Park,58,Vascular Plant,"Back's Sedge, Rocky Mountain Sedge",
Betula nigra,Bryce National Park,106,Vascular Plant,River Birch,
Quercus,Bryce National Park,59,Vascular Plant,Oak,
Spiraea prunifolia,Great Smoky Mountains National Park,48,Vascular Plant,"Bridal-Wreath, Spiraea",
Andropogon glomeratus,Bryce National Park,65,Vascular Plant,"Bushy Bluestem, Marsh Broomsedge",
Didymodon fallax var. reflexus,Yellowstone National Park,208,Nonvascular Plant,Didymodon Moss,
Rhynchospora alba,Bryce National Park,88,Vascular Plant,White Beaksedge,
Accipiter cooperii,Bryce National Park,95,Bird,Cooper's Hawk,Species of Concern
Eurycea longicauda longicauda,Yosemite National Park,147,Amphibian,Longtail Salamander,
Scleria oligantha,Great Smoky Mountains National Park,70,Vascular Plant,"Little-Headed Nutrush, Nut-Rush",
Orthotrichum stellatum,Great Smoky Mountains National Park,71,Nonvascular Plant,Stellate Orthotrichum Moss,
Rhododendron maximum,Bryce National Park,100,Vascular Plant,"Great Laurel, Rosebay Rhododendron",
Morus alba,Great Smoky Mountains National Park,49,Vascular Plant,White Mulberry,
Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77,Vascular Plant,"Bunchberry Elder, Red Elderberry",
Nemacladus interior,Bryce National Park,100,Vascular Plant,Sierra Threadplant,
Sphagnum subsecundum,Great Smoky Mountains National Park,73,Nonvascular Plant,Sphagnum,
Euphagus cyanocephalus,Bryce National Park,79,Bird,Brewer's Blackbird,
Eleocharis quinqueflora,Bryce National Park,106,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",
Crotalaria sagittalis,Bryce National Park,56,Vascular Plant,Arrowhead Rattlebox,
Erechtites hieracifolia,Yosemite National Park,134,Vascular Plant,Burnweed,
Scrophularia marilandica,Bryce National Park,89,Vascular Plant,"Carpenter's Square Figwort, Figwort",
Viola blanda var. blanda,Great Smoky Mountains National Park,108,Vascular Plant,Sweet White Violet,
Hordeum murinum ssp. murinum,Yosemite National Park,115,Vascular Plant,Wall Barley,
Calcarius lapponicus,Bryce National Park,91,Bird,Lapland Longspur,
Agrostis mertensii,Yosemite National Park,135,Vascular Plant,Northern Agrostis,
Agrostis mertensii,Yosemite National Park,135,Vascular Plant,"Arctic Bentgrass, Northern Bentgrass",
Seiurus aurocapilla,Bryce National Park,86,Bird,Ovenbird,
Chelone lyonii,Yellowstone National Park,244,Vascular Plant,Pink Turtlehead,
Viburnum edule,Yosemite National Park,136,Vascular Plant,Squashberry,
Platanthera obtusata,Great Smoky Mountains National Park,116,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",
Pseudacris maculata,Bryce National Park,109,Amphibian,Boreal Chorus Frog,
Chasmanthium sessiliflorum,Yellowstone National Park,257,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",
Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123,Vascular Plant,Tapered Rosette Grass,Species of Concern
Osmorhiza berteroi,Yellowstone National Park,263,Vascular Plant,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",
Hackelia nervosa,Yosemite National Park,168,Vascular Plant,"Sierra Stickseed, Sierran Stickseed",
Poa sylvestris,Bryce National Park,118,Vascular Plant,Woodland Bluegrass,
Amorpha fruticosa,Yellowstone National Park,258,Vascular Plant,"False Indigo, False Indigo-Bush",
Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Mayweed, Stinking Chamomile",
Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Chamomile, Dog Fennel, Dogfennel, Mayweed, Mayweed Chamomile, Mayweed Dogfennel, Stinking Chamomile, Stinkweed",
Rumex obtusifolius,Great Smoky Mountains National Park,27,Vascular Plant,Bitter Dock,
Clarkia rhomboidea,Great Smoky Mountains National Park,92,Vascular Plant,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",
Berberis canadensis,Great Smoky Mountains National Park,74,Vascular Plant,American Barberry,
Poa bolanderi,Yosemite National Park,135,Vascular Plant,Bolander's Bluegrass,
Zonotrichia atricapilla,Bryce National Park,94,Bird,Golden-Crowned Sparrow,
Pinus,Bryce National Park,94,Vascular Plant,Pine,
Potentilla fruticosa,Bryce National Park,71,Vascular Plant,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",
Melanerpes erythrocephalus,Great Smoky Mountains National Park,84,Bird,Red-Headed Woodpecker,
Digitaria violascens,Yosemite National Park,132,Vascular Plant,Violet Crabgrass,
Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Cat's Ear, Spotted Cat's-Ear",
Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Spotted Cats-Ear, Hairy Cats-Ear, Gosmore",
Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Common Cat's-Ear, False Dandelion, Frogbit, Gosmore, Hairy Cat's Ear, Hairy Catsear, Spotted Catsear",
Phacelia egena,Yellowstone National Park,282,Vascular Plant,"Kaweah River Phacelia, Kaweah River Scorpion-Weed",
Atrichum oerstedianum,Great Smoky Mountains National Park,74,Nonvascular Plant,Oersted's Atrichum Moss,
Pinus lambertiana,Bryce National Park,116,Vascular Plant,"California Sugar Pine, Sugar Pine",
Thalictrum alpinum,Bryce National Park,110,Vascular Plant,"Alpine Meadowrue, Alpine Meadow-Rue",
Jeffersonia diphylla,Yellowstone National Park,258,Vascular Plant,Twinleaf,
Triosteum perfoliatum,Yellowstone National Park,257,Vascular Plant,Feverwort,
Vaccinium parvifolium,Yellowstone National Park,253,Vascular Plant,Red Huckleberry,
Sematophyllum demissum,Bryce National Park,109,Nonvascular Plant,Sematophyllum Moss,
Phlox stolonifera,Yellowstone National Park,247,Vascular Plant,Creeping Phlox,
Cryptantha muricata,Yellowstone National Park,267,Vascular Plant,"Pointed Catseye, Pointed Cryptantha, Prickly Cryptantha",
Pseudoroegneria spicata,Yosemite National Park,156,Vascular Plant,"Bluebunch Wheatgrass, Bluebunch-Wheat Grass",
Prosartes maculatum,Great Smoky Mountains National Park,105,Vascular Plant,Spotted Mandarin,
Cuscuta compacta,Yosemite National Park,140,Vascular Plant,"Bracted Dodder, Sessile Dodder",
Salix farriae,Bryce National Park,108,Vascular Plant,Farr's Willow,
Coreopsis tripteris,Bryce National Park,86,Vascular Plant,Tall Tickseed,
Vermivora celata,Yosemite National Park,106,Bird,Orange-Crowned Warbler,
Malus angustifolia,Great Smoky Mountains National Park,71,Vascular Plant,"Narrowleaf Crabapple, Southern Crabapple",
Cyanocitta stelleri,Yellowstone National Park,230,Bird,Steller's Jay,
Platanthera dilatata var. dilatata,Yellowstone National Park,257,Vascular Plant,Scentbottle,
Cheilanthes intertexta,Yosemite National Park,124,Vascular Plant,Coastal Lipfern,
Carex lenticularis var. lipocarpa,Bryce National Park,112,Vascular Plant,"Kellogg Sedge, Kellogg's Sedge",
Floerkea proserpinacoides,Yosemite National Park,131,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",
Juncus effusus var. solutus,Yosemite National Park,131,Vascular Plant,Lamp Rush,
Thelypodium sagittatum,Yosemite National Park,164,Vascular Plant,"Arrow Thelypody, Slender Thelypody",
Lychnis coronaria,Yellowstone National Park,260,Vascular Plant,Rose Campion,
Carduelis tristis,Bryce National Park,110,Bird,American Goldfinch,
Cicuta douglasii,Bryce National Park,119,Vascular Plant,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",
Melanthium latifolium,Yosemite National Park,167,Vascular Plant,"Bunch-Flower, Hybrid Bunchflower",
Lespedeza procumbens,Yellowstone National Park,233,Vascular Plant,"Low Bush-Clover, Trailing Bush-Clover",
Juncus ensifolius var. montanus,Bryce National Park,83,Vascular Plant,Rocky Mountain Rush,
Osmorhiza depauperata,Great Smoky Mountains National Park,67,Vascular Plant,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot",
Cucumis melo,Bryce National Park,80,Vascular Plant,Canteloupe,
Viola blanda var. blanda,Yellowstone National Park,245,Vascular Plant,Sweet White Violet,
Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,
Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,Threatened
Ajuga reptans,Great Smoky Mountains National Park,60,Vascular Plant,"Bugleweed, Carpet-Bugel",
Ranunculus pusillus,Great Smoky Mountains National Park,82,Vascular Plant,"Aquatic Buttercup, Pursh Buttercup",
Taraxacum ceratophorum,Yosemite National Park,151,Vascular Plant,"Common Dandelion, Woolbearing Dandelion",
Oxytropis parryi,Great Smoky Mountains National Park,66,Vascular Plant,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",
Cynosurus echinatus,Bryce National Park,75,Vascular Plant,Bristly Dogstail Grass,
Platanthera stricta,Bryce National Park,76,Vascular Plant,"Modoc Bog Orchid, Slender Bog Orchid",
Dodecatheon subalpinum,Yellowstone National Park,206,Vascular Plant,Sierra Shootingstar,
Rumex paucifolius,Great Smoky Mountains National Park,86,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",
Cyperus pseudovegetus,Bryce National Park,108,Vascular Plant,Marsh Flatsedge,
Malus coronaria,Great Smoky Mountains National Park,75,Vascular Plant,Northern Crabapple,
Nepeta cataria,Yosemite National Park,189,Vascular Plant,Catnip,
Nepeta cataria,Yosemite National Park,189,Vascular Plant,"Catmint, Catnip, Catwort, Field Balm",
Hieracium piloselloides,Bryce National Park,77,Vascular Plant,King Devil,
Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242,Vascular Plant,Small Panic Grass,
Bidens aristosa,Bryce National Park,111,Vascular Plant,Stick-Tight,
Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cultivated Rye, Rye",
Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cereal Rye, Common Rye, Cultivated Annual Rye, Cultivated Rye, Rye",
Rugelia nudicaulis,Yosemite National Park,120,Vascular Plant,Rugel's Ragwort,Species of Concern
Iva annua,Great Smoky Mountains National Park,70,Vascular Plant,Iva,
Bromus suksdorfii,Yellowstone National Park,243,Vascular Plant,Suksdorf's Brome,
Taenidia integerrima,Bryce National Park,114,Vascular Plant,"Yellow Pimpernel, Yellow Pimpernell",
Symphyotrichum spathulatum,Bryce National Park,110,Vascular Plant,Western Mountain Aster,
Heterotheca villosa var. villosa,Yellowstone National Park,276,Vascular Plant,"Hairy False Goldenaster, Hairy False Golden-Aster",
Pica hudsonia,Yellowstone National Park,239,Bird,"Black-Billed Magpie, Magpie",
Pica hudsonia,Yellowstone National Park,239,Bird,Black-Billed Magpie,
Viburnum lentago,Great Smoky Mountains National Park,74,Vascular Plant,"Nannyberry, Nanny-Berry",
Saxifraga subapetala,Yellowstone National Park,265,Vascular Plant,Yellowstone Saxifrage,
Helianthella quinquenervis,Yellowstone National Park,237,Vascular Plant,"Fivenerve Helianthella, Nodding Dwarf-Sunflower, Nodding Helianthella",
Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29,Vascular Plant,Bracken Fern,
Sturnus vulgaris,Yellowstone National Park,233,Bird,European Starling,
Sturnus vulgaris,Yellowstone National Park,233,Bird,"Common Starling, European Starling",
Carex preslii,Great Smoky Mountains National Park,25,Vascular Plant,Presl's Sedge,
Pellaea breweri,Great Smoky Mountains National Park,73,Vascular Plant,Brewer's Cliffbrake,
Houstonia longifolia var. longifolia,Yellowstone National Park,254,Vascular Plant,Long-Leaved Bluets,
Mustela erminea,Bryce National Park,118,Mammal,"Ermine, Short Tailed Weasel",
Mustela erminea,Bryce National Park,118,Mammal,Ermine,
Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,"American Pinesap, Pine-Sap",
Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,Pinesap,
Pandion haliaetus,Yosemite National Park,134,Bird,Osprey,Species of Concern
Pandion haliaetus,Yosemite National Park,134,Bird,"Osprey, Western Osprey",Species of Concern
Nandina domestica,Yellowstone National Park,220,Vascular Plant,"Heavenly Bamboo, Nandina",
Aix sponsa,Yosemite National Park,152,Bird,Wood Duck,
Iris missouriensis,Yosemite National Park,127,Vascular Plant,"Rocky Mountain Iris, Western Blue Flag, Wild Iris, Wildiris",Species of Concern
Rigiopappus leptocladus,Yellowstone National Park,266,Vascular Plant,Wireweed,
Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Yellow Or Hop-Clover,
Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Golden Clover,
Ericameria cuneata var. cuneata,Yosemite National Park,166,Vascular Plant,Cliff Goldenbush,
Juncus marginatus,Great Smoky Mountains National Park,53,Vascular Plant,"Grassleaf Rush, Margined Rush",
Carex jamesii,Great Smoky Mountains National Park,117,Vascular Plant,"James? Sedge, Nebraska Sedge",
Carex gracillima,Yellowstone National Park,240,Vascular Plant,Graceful Sedge,
Crotalus viridis viridis,Great Smoky Mountains National Park,55,Reptile,Prairie Rattlesnake,
Penstemon procerus,Yellowstone National Park,215,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",
Thaspium trifoliatum var. aureum,Yosemite National Park,125,Vascular Plant,"Purple Meadow-Parsnip, Yellow Meadow-Parsnip",
Leucobryum glaucum,Bryce National Park,89,Nonvascular Plant,Leucobryum Moss,
Empidonax difficilis,Yellowstone National Park,261,Bird,Pacific-Slope Flycatcher,
Sonchus oleraceus,Bryce National Park,99,Vascular Plant,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",
Stizostedion vitreum,Great Smoky Mountains National Park,108,Fish,Walleye,
Heterocladium macounii,Great Smoky Mountains National Park,110,Nonvascular Plant,Macoun's Heterocladium Moss,
Saponaria officinalis,Great Smoky Mountains National Park,79,Vascular Plant,"Bouncing-Bet, Soapwort, Bouncing-Bet",
Saponaria officinalis,Great Smoky Mountains National Park,79,Vascular Plant,"Bouncing Bet, Bouncingbet, Bouncingbet Soapweed, Soapwort, Sweet Betty",
Stizostedion canadense,Bryce National Park,76,Fish,Sauger,
Riparia riparia,Yellowstone National Park,199,Bird,Bank Swallow,Species of Concern
Riparia riparia,Yellowstone National Park,199,Bird,"Bank Swallow, Sand Martin",Species of Concern
Chasmanthium sessiliflorum,Great Smoky Mountains National Park,70,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",
Setophaga dominica,Yosemite National Park,140,Bird,Yellow-Throated Warbler,
Desmodium paniculatum var. paniculatum,Yellowstone National Park,206,Vascular Plant,Panicledleaf Ticktrefoil,
Sayornis nigricans,Yosemite National Park,128,Bird,Black Phoebe,
Logfia arvensis,Yosemite National Park,154,Vascular Plant,Field Cottonrose,
Sambucus mexicana,Yellowstone National Park,232,Vascular Plant,Mexican Elder,
Gratiola viscidula,Great Smoky Mountains National Park,107,Vascular Plant,Short's Hedgehyssop,
Populus alba,Yellowstone National Park,251,Vascular Plant,"Silver Poplar, White Poplar",
Galium obtusum,Yosemite National Park,114,Vascular Plant,"Blunt-Leaf Bedstraw, Blunt-Leaved Bedstraw",
Rosa setigera,Yosemite National Park,135,Vascular Plant,Prairie Rose,
Cercocarpus betuloides var. betuloides,Yellowstone National Park,269,Vascular Plant,Birch-Leaf Mountain-Mahogany,
Opuntia fragilis,Great Smoky Mountains National Park,57,Vascular Plant,"Brittle Cactus, Brittle Pricklypear, Fragile Cactus, Jumping Cactus, Little Pricklypear",
Smallanthus uvedalius,Bryce National Park,91,Vascular Plant,Hairy Leafcup,
Silene stellata,Bryce National Park,98,Vascular Plant,"Starry Campion, Starry Catchfly",
Richardsonius balteatus,Yosemite National Park,163,Fish,Redside Shiner,
Panicum rigidulum var. elongatum,Bryce National Park,93,Vascular Plant,"Stalked-Fruit Panic Grass, Tall Flat Panic-Grass",
Eriogonum prattenianum var. prattenianum,Yosemite National Park,143,Vascular Plant,Nevada City Buckwheat,
Doellingeria infirma,Great Smoky Mountains National Park,68,Vascular Plant,Cornel-Leaf Whitetop,
Agoseris aurantiaca,Yellowstone National Park,241,Vascular Plant,"Orange Agoseris, Orange-Flowered False-Dandelion",
Verbena hastata,Yosemite National Park,122,Vascular Plant,"Blue Verbena, Blue Vervain, Simpler's-Joy, Swamp Verbena",
Aster patens var. patens,Yellowstone National Park,230,Vascular Plant,Late Purple Aster,
Elymus glaucus ssp. glaucus,Bryce National Park,70,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
Fleischmannia incarnata,Bryce National Park,96,Vascular Plant,Pink Thoroughwort,
Sialia sialis,Great Smoky Mountains National Park,69,Bird,Eastern Bluebird,
Scolochloa festucacea,Bryce National Park,97,Vascular Plant,"Common Rivergrass, Rivergrass",
Elymus hystrix var. hystrix,Yosemite National Park,166,Vascular Plant,Eastern Bottlebrush Grass,
Sarracenia purpurea,Yellowstone National Park,235,Vascular Plant,Purple Pitcherplant,
Eriogonum ovalifolium var. nivale,Bryce National Park,149,Vascular Plant,Cushion Buckwheat,
Sedum sarmentosum,Great Smoky Mountains National Park,56,Vascular Plant,"Stonecrop, Stringy Stonecrop",
Brachydontium trichodes,Yosemite National Park,141,Nonvascular Plant,Peak Moss,
Geranium dissectum,Great Smoky Mountains National Park,119,Vascular Plant,Cutleaf Geranium,
Typha angustifolia,Bryce National Park,77,Vascular Plant,Narrowleaf Cattail,
Prunus hortulana,Yosemite National Park,147,Vascular Plant,Hortulan Plum,
Ranunculus acris,Yosemite National Park,142,Vascular Plant,"Tall Buttercup, Tall Butter-Cup",
Eurybia chlorolepis,Yellowstone National Park,216,Vascular Plant,Mountain Aster,
Sphenopholis pensylvanica,Great Smoky Mountains National Park,49,Vascular Plant,"Swamp Wedgescale, Trisetum",
Circaea alpina,Bryce National Park,114,Vascular Plant,"Small Enchanter's Nightshade, Smaller Enchanter's-Nightshade",
Erigenia bulbosa,Bryce National Park,124,Vascular Plant,Harbinger Of Spring,
Senecio streptanthifolius,Great Smoky Mountains National Park,69,Vascular Plant,Cleftleaf Groundsel,
Lasiurus blossevillii,Bryce National Park,113,Mammal,Western Red Bat,Species of Concern
